,id,time,mood,circumplex.arousal,circumplex.valence,activity,appCat.entertainment,appCat.office,appCat.weather
102,AS14.02,2014-03-19,7.0,0.0,0.0,0.31563175685064315,0.005457758848694729,0.0,0.0
103,AS14.02,2014-03-20,7.0,0.0,1.0,0.23902496021034736,0.004123252928788181,0.0,0.0
104,AS14.02,2014-03-21,8.0,-1.0,1.0,0.28962792490010747,0.012788929269015812,0.0,0.0
105,AS14.02,2014-03-22,6.0,-1.0,0.0,0.44604368683290135,0.018446144704250926,0.0,0.0
106,AS14.02,2014-03-23,6.0,-1.0,0.0,0.26969715703353236,0.010799205123207149,0.0,0.0
107,AS14.02,2014-03-24,6.0,0.0,0.0,0.15612466250149995,0.014803780269964817,0.0,0.0
108,AS14.02,2014-03-25,8.0,-1.0,1.0,0.23051365485645378,0.012788511879395543,0.0,0.0
109,AS14.02,2014-03-26,7.0,-1.0,0.0,0.29395346240584214,0.02134655734954251,0.0,0.0
110,AS14.02,2014-03-27,7.0,0.0,0.0,0.22884900892215096,0.013656459681762666,0.0,0.0
111,AS14.02,2014-03-28,7.0,-1.0,1.0,0.26159832807813954,0.019690772725925686,0.0,0.0
112,AS14.02,2014-03-29,7.0,-1.0,0.0,0.432469355060395,0.02958646845111858,0.0,0.0
113,AS14.02,2014-03-30,7.0,-1.0,1.0,0.24188730879396786,0.035578124276089855,0.0,0.0
114,AS14.02,2014-03-31,7.0,-1.0,0.0,0.15637292366427655,0.009877247103976899,0.0,0.0
115,AS14.02,2014-04-01,7.0,0.0,1.0,0.26196053218905446,0.0021419322273343163,0.0,0.0
116,AS14.02,2014-04-02,6.0,-1.0,0.0,0.3191205617996335,0.0284229531456499,0.0,0.0
117,AS14.02,2014-04-03,6.0,0.0,0.0,0.32250583990998866,0.01527053316932703,0.0,0.0
118,AS14.02,2014-04-04,6.0,-1.0,0.0,0.22727035660896047,0.022531470829543772,0.0,0.0
119,AS14.02,2014-04-05,7.0,0.0,1.0,0.32191972248052525,0.02210729167144924,0.0,0.0
120,AS14.02,2014-04-06,4.0,-1.0,-1.0,0.21520952016085249,0.0172237218103746,0.0,0.0
121,AS14.02,2014-04-07,7.0,0.0,1.0,0.13652373439609958,0.020533231935481566,0.0,0.0
122,AS14.02,2014-04-08,6.0,0.0,0.0,0.26195103762156396,0.0053837695820079445,0.0,0.0
123,AS14.02,2014-04-09,7.0,0.0,0.0,0.24720984804489024,0.017453453057372004,0.0,0.0
124,AS14.02,2014-04-10,7.0,0.0,1.0,0.2607506038432932,0.01934806802170815,0.0,0.0
125,AS14.02,2014-04-11,6.0,0.0,0.0,0.4244814273084369,0.019498328285005865,0.0,0.0
126,AS14.02,2014-04-12,6.0,-2.0,-1.0,0.3783017333120428,0.0,0.0,0.0
127,AS14.02,2014-04-13,7.0,-1.0,0.0,0.28982011828279997,0.010337906114883149,0.0,0.0
128,AS14.02,2014-04-14,8.0,1.0,1.0,0.18707405017212794,0.002664949247509122,0.0,0.0
129,AS14.02,2014-04-15,7.0,0.0,0.0,0.1736288831786874,0.0005470030103530711,0.0,0.0
130,AS14.02,2014-04-16,7.0,0.0,0.0,0.3532763532763534,0.0,0.0,0.0
131,AS14.02,2014-04-17,6.0,0.0,0.0,0.4700854700854705,0.0,0.0,0.0
132,AS14.02,2014-04-18,6.0,0.0,0.0,0.11912254032246263,0.0,0.0,0.0
133,AS14.02,2014-04-19,6.0,-1.0,0.0,0.5,0.0,0.0,0.0
134,AS14.02,2014-04-20,5.0,-1.0,0.0,0.11912254032246263,0.0,0.0,0.0
135,AS14.02,2014-04-21,6.0,0.0,0.0,0.11912254032246263,0.0,0.0,0.0
136,AS14.02,2014-04-22,6.0,-1.0,0.0,0.075,0.0,0.0,0.0
137,AS14.02,2014-04-23,6.0,0.0,0.0,0.142857142857143,0.0,0.0,0.0
138,AS14.02,2014-04-24,7.0,0.0,0.0,0.0344827586206897,0.0,0.0,0.0
139,AS14.02,2014-04-25,9.0,-1.0,1.0,0.11912254032246263,0.0,0.0,0.0
168,AS14.03,2014-03-21,9.0,1.0,2.0,0.11912254032246263,0.026323845093355436,0.000301835581571757,0.0
169,AS14.03,2014-03-22,8.0,1.0,1.0,0.1913883086450861,0.10895327170158196,0.0,0.0
170,AS14.03,2014-03-23,8.0,0.0,1.0,0.1002466983942117,0.04845590188227412,0.004867286536279264,0.12223896745217844
171,AS14.03,2014-03-24,8.0,-1.0,1.0,0.090740222421567,0.10874510558496525,0.0037654334322596507,0.0
172,AS14.03,2014-03-25,8.0,0.0,1.0,0.13276828552349199,0.03760446740458367,0.004238677733009875,0.0
173,AS14.03,2014-03-26,8.0,0.0,1.0,0.09115320114030412,0.06555446245851666,0.0006214580100766696,0.0
174,AS14.03,2014-03-27,8.0,0.0,0.0,0.10319575369873081,0.046017400416749614,0.0004037193618932609,0.0
175,AS14.03,2014-03-28,8.0,0.0,2.0,0.10467928797906652,0.09326685151461643,0.0013882754212726064,0.0
176,AS14.03,2014-03-29,9.0,0.0,2.0,0.16337733775865063,0.07037823429999372,0.0,0.0
177,AS14.03,2014-03-30,8.0,0.0,1.0,0.16465071526667882,0.05675981272562514,0.0007897119675524648,0.0870857940191368
178,AS14.03,2014-03-31,7.0,0.0,1.0,0.08363358459550868,0.047289353545564794,0.0,0.0
179,AS14.03,2014-04-01,8.0,0.0,0.0,0.09741434014631097,0.04526045042739999,0.0018775338933325796,0.0
180,AS14.03,2014-04-02,7.0,0.0,1.0,0.0786881382869165,0.0551372801417566,0.00056181799122141,0.0
181,AS14.03,2014-04-03,8.0,0.0,1.0,0.08363645439998374,0.05824421717115853,0.0,0.0
182,AS14.03,2014-04-04,8.0,0.0,1.0,0.0871065604162596,0.03816513296850695,0.00018516948927202256,0.0
183,AS14.03,2014-04-05,8.0,1.0,1.0,0.11442793762963631,0.06388326224492447,0.003199409092101346,0.0
184,AS14.03,2014-04-06,7.0,0.0,1.0,0.07677201548523706,0.11782074201022352,0.0,0.0
185,AS14.03,2014-04-07,7.0,0.0,1.0,0.14406393678902962,0.06994926907425345,0.0037460842271499336,0.0
186,AS14.03,2014-04-08,7.0,0.0,1.0,0.10383088896536452,0.03638627405885943,0.04491371140858879,0.0
187,AS14.03,2014-04-09,8.0,1.0,1.0,0.0921222333052219,0.0273907764406933,0.0004888378371662838,0.0
188,AS14.03,2014-04-10,7.0,0.0,1.0,0.1080663991151945,0.07725403264459871,0.00015674658859843283,0.0
189,AS14.03,2014-04-11,8.0,0.0,1.0,0.12018808327176551,0.0870532557155595,0.00027521540187112225,0.0
190,AS14.03,2014-04-12,8.0,0.0,1.0,0.12703734227128452,0.3354345005077543,0.0,0.0
191,AS14.03,2014-04-13,7.0,0.0,1.0,0.07813754216620179,0.0895421500212381,0.019341874044426437,0.0
192,AS14.03,2014-04-14,7.0,0.0,1.0,0.09289626571780714,0.032074138413911074,0.00024255610691108846,0.0
193,AS14.03,2014-04-15,8.0,0.0,1.0,0.11955499852139129,0.051479221857748274,0.00018102323103422617,0.0
194,AS14.03,2014-04-16,8.0,1.0,1.0,0.11476816921494708,0.09686399874003977,0.0009970849701413825,0.0
195,AS14.03,2014-04-17,7.0,0.0,1.0,0.14085924635236632,0.03227214804976785,0.0,0.0
196,AS14.03,2014-04-18,8.0,0.0,1.0,0.07387608289940913,0.11977960715010676,0.005523657242532161,0.0
197,AS14.03,2014-04-19,8.0,1.0,1.0,0.20822977708940202,0.0018561316413471152,0.0,0.0
198,AS14.03,2014-04-20,8.0,0.0,1.0,0.1468526372239469,0.042531668393964016,0.0,0.0
199,AS14.03,2014-04-21,7.0,0.0,1.0,0.02084580503077148,0.11176369514474302,0.0,0.0
200,AS14.03,2014-04-22,8.0,0.0,1.0,0.09285561446082308,0.06517914571196855,0.0011882334839737054,0.0
201,AS14.03,2014-04-23,7.0,1.0,1.0,0.1203897193369119,0.06660820429385395,0.0,0.0
202,AS14.03,2014-04-24,7.0,0.0,1.0,0.10600109223606824,0.04864278112825699,0.0,0.0
203,AS14.03,2014-04-25,8.0,-1.0,1.0,0.10616761822048394,0.09274261015155554,0.005363034803841876,0.0
204,AS14.03,2014-04-26,8.0,0.0,1.0,0.26914225033438455,0.07616058314338624,0.0,0.0
205,AS14.03,2014-04-27,8.0,-1.0,1.0,0.06555207175889922,0.20541192946838885,0.0,0.0
206,AS14.03,2014-04-28,7.0,-1.0,1.0,0.08262849034113322,0.09732195863140172,0.0,0.0
207,AS14.03,2014-04-29,7.0,-1.0,1.0,0.1186958482249048,0.028029744297379516,0.00019547504416741503,0.0
208,AS14.03,2014-04-30,7.0,-1.0,1.0,0.08969224082903049,0.055838216444065794,0.0,0.0
209,AS14.03,2014-05-01,7.0,-1.0,1.0,0.13638883459215953,0.08421951410561261,0.0018377538505293738,0.0
210,AS14.03,2014-05-02,8.0,-1.0,1.0,0.13437692269476761,0.11405858675491948,0.0,0.0
211,AS14.03,2014-05-03,8.0,0.0,1.0,0.1389189314363011,0.09266859305889402,0.0,0.0
212,AS14.03,2014-05-04,7.0,-1.0,1.0,0.06616240664834473,0.07493086984414252,0.0,0.0
213,AS14.03,2014-05-05,7.0,-1.0,1.0,0.10118200505539371,0.0455142511424997,0.0,0.0
215,AS14.03,2014-05-07,8.0,-1.0,1.0,0.09445035643820726,0.03297372434949477,0.0004177805854823094,0.0
234,AS14.05,2014-03-14,8.0,-1.0,2.0,0.11912254032246263,0.007496568013847314,0.0,0.0
235,AS14.05,2014-03-15,6.0,0.0,0.0,0.11912254032246263,0.05706623235885376,0.0,0.0
236,AS14.05,2014-03-16,6.0,-1.0,0.0,0.11912254032246263,0.021713442825761115,0.0,0.0
237,AS14.05,2014-03-17,6.0,0.0,0.0,0.08337052096204703,0.028405367129649143,0.0,0.0
238,AS14.05,2014-03-18,8.0,0.0,1.0,0.11319590615792095,0.025192802700343877,0.0,0.0
239,AS14.05,2014-03-19,7.0,1.0,1.0,0.13369126492653632,0.028693505097509855,0.0,0.0
240,AS14.05,2014-03-20,7.0,1.0,1.0,0.11845679938612319,0.014258530296016885,0.0,0.0
241,AS14.05,2014-03-21,7.0,0.0,1.0,0.050197722898856136,0.010456778678736456,0.0,0.0
242,AS14.05,2014-03-22,4.0,-2.0,-1.0,0.018560992335206163,0.017862077495617745,0.0,0.0
243,AS14.05,2014-03-23,4.0,-1.0,-1.0,0.08524289724808609,0.020851088044305622,0.0,0.0
244,AS14.05,2014-03-24,4.0,-2.0,-1.0,0.006535872072708545,0.015422824728776739,0.0,0.0
245,AS14.05,2014-03-25,5.0,-1.0,0.0,0.040966888004228603,0.0747950234357315,0.0,0.0
246,AS14.05,2014-03-26,6.0,0.0,0.0,0.039236509193725615,0.0199102640142391,0.0,0.0
247,AS14.05,2014-03-27,6.0,-1.0,0.0,0.07717586025360933,0.03164380971541122,0.0,0.0
248,AS14.05,2014-03-28,6.0,0.0,1.0,0.04532458316828961,0.1149049416009312,0.0,0.0
249,AS14.05,2014-03-29,6.0,0.0,1.0,0.10442318185053041,0.009606695152116948,0.0,0.0
250,AS14.05,2014-03-30,6.0,-1.0,1.0,0.07491950961612633,0.010029649967325346,0.0,0.0
251,AS14.05,2014-03-31,7.0,0.0,1.0,0.05534132176899743,0.03533102962088919,0.0,0.0
252,AS14.05,2014-04-01,7.0,0.0,1.0,0.07812598561494997,0.02557337855610738,0.0,0.0
253,AS14.05,2014-04-02,7.0,0.0,1.0,0.07312614127423468,0.0181287894629712,0.0,0.0
254,AS14.05,2014-04-03,7.0,-1.0,1.0,0.05275148533518809,0.007009696934788015,0.0,0.0
255,AS14.05,2014-04-04,7.0,-1.0,1.0,0.04145652357485974,0.007589005901750097,0.0,0.0
256,AS14.05,2014-04-05,8.0,0.0,1.0,0.06928846414407398,0.006054125138138569,0.0,0.0
257,AS14.05,2014-04-06,7.0,0.0,1.0,0.07736263815327492,0.024700171644524833,0.0,0.0
258,AS14.05,2014-04-07,7.0,0.0,1.0,0.06685869441897198,0.009697713915310808,0.0,0.0
259,AS14.05,2014-04-08,7.0,0.0,0.0,0.08512478025882425,0.05567537884021055,0.0,0.0
260,AS14.05,2014-04-09,7.0,0.0,1.0,0.1536189527904702,0.025918615424021223,0.0,0.0
261,AS14.05,2014-04-10,7.0,1.0,1.0,0.013347120143232588,0.02448365773550269,0.0,0.0
262,AS14.05,2014-04-11,7.0,0.0,1.0,0.0946152502759936,0.015351339799811577,0.0006347680999269869,0.0
263,AS14.05,2014-04-12,7.0,-1.0,1.0,0.04929885725426735,0.014793735093103614,0.0,0.0
264,AS14.05,2014-04-13,8.0,0.0,1.0,0.11412738344393665,0.0056197616733094195,0.0,0.0
265,AS14.05,2014-04-14,6.0,-1.0,0.0,0.10172344511577691,0.010840387565740593,0.0,0.0
266,AS14.05,2014-04-15,7.0,0.0,1.0,0.057296548856612596,0.016759501074708694,0.0,0.0
267,AS14.05,2014-04-16,7.0,-1.0,1.0,0.1056494311461758,0.006541636214615616,0.0,0.0
268,AS14.05,2014-04-17,7.0,0.0,1.0,0.11503845562252697,0.01217060828554569,0.0,0.0
269,AS14.05,2014-04-18,8.0,0.0,1.0,0.11516740722460596,0.022997277645766704,0.0,0.0
270,AS14.05,2014-04-19,7.0,-1.0,1.0,0.06088698983560529,0.0012184994314457715,0.0,0.0
271,AS14.05,2014-04-20,7.0,-1.0,1.0,0.03538299274192724,0.017239499138020857,0.0,0.0
272,AS14.05,2014-04-21,7.0,-1.0,1.0,0.10177745806111634,0.010205148389662145,0.0,0.0
273,AS14.05,2014-04-22,7.0,0.0,1.0,0.06284797975562106,0.0077757181918848605,0.0,0.0
274,AS14.05,2014-04-23,7.0,-1.0,1.0,0.08094689688962851,0.02687997502340511,0.0,0.0
275,AS14.05,2014-04-24,7.0,-1.0,1.0,0.039371066186060205,0.002759668865336055,0.0,0.0
276,AS14.05,2014-04-25,7.0,-1.0,1.0,0.049052721518388076,0.023329992825072407,0.0,0.0
277,AS14.05,2014-04-26,8.0,-1.0,1.0,0.20016636094205972,0.03256988597889479,0.0,0.0
278,AS14.05,2014-04-27,7.0,-1.0,1.0,0.018822482895967975,0.006403229816533608,0.0,0.0
279,AS14.05,2014-04-28,7.0,-1.0,1.0,0.010304627529119472,0.018685893302134843,0.0,0.0
280,AS14.05,2014-04-29,7.0,0.0,1.0,0.04116509714674098,0.016240769254635343,0.0,0.0
281,AS14.05,2014-04-30,7.0,-1.0,1.0,0.06160851782272659,0.002882520543569283,0.0,0.0
282,AS14.05,2014-05-01,7.0,0.0,1.0,0.02529227510600561,0.0025169707141355522,0.0,0.0
283,AS14.05,2014-05-02,7.0,0.0,1.0,0.006817240295425037,0.01086345529875427,0.0,0.0
284,AS14.05,2014-05-03,7.0,0.0,1.0,0.05447085148853845,0.004583967591643801,0.0,0.0
285,AS14.05,2014-05-04,7.0,0.0,1.0,0.07258033493084996,0.007504136678961569,0.0,0.0
286,AS14.05,2014-05-05,6.0,0.0,1.0,0.0024906600249066002,0.00014344289949995325,0.0,0.0
315,AS14.06,2014-03-24,7.0,-1.0,0.0,0.043431899641577044,0.02986776122920685,0.0,0.0
316,AS14.06,2014-03-25,7.0,0.0,1.0,0.13770858770858774,0.08347706144907377,0.008320699013469962,0.0
317,AS14.06,2014-03-26,8.0,0.0,2.0,0.13556265296587805,0.05428728009306118,0.0010723786161118008,0.0
318,AS14.06,2014-03-27,7.0,0.0,0.0,0.13232860520094558,0.068264322829167,0.0,0.0
319,AS14.06,2014-03-28,8.0,0.0,1.0,0.17147079420003297,0.055540534166888214,0.001269806607999917,0.0
320,AS14.06,2014-03-29,8.0,0.0,1.0,0.11158088235294118,0.021886659518173746,0.0,0.0
321,AS14.06,2014-03-30,8.0,0.0,1.0,0.21129785247432314,0.05726276721805223,0.0,0.013242055175684109
322,AS14.06,2014-03-31,7.0,0.0,0.0,0.16060545689131744,0.06723679306198273,0.0008269081102944353,0.0
323,AS14.06,2014-04-01,8.0,0.0,1.0,0.22585362340247242,0.0215807129265148,0.0,0.0
324,AS14.06,2014-04-02,7.0,-1.0,0.0,0.1625525210084034,0.039471061612412234,0.005017573374724609,0.0
325,AS14.06,2014-04-03,7.0,0.0,0.0,0.20957389809629753,0.03663704174271848,0.0,0.0
326,AS14.06,2014-04-04,7.0,0.0,0.0,0.1495238095238096,0.03802836830293137,0.0,0.0
327,AS14.06,2014-04-05,7.0,0.0,1.0,0.2922739018087855,0.01556763110103624,0.0,0.0
328,AS14.06,2014-04-06,7.0,-1.0,0.0,0.02042572463768114,0.014835696662928232,0.0,0.0
329,AS14.06,2014-04-07,6.0,-1.0,0.0,0.19494720965309198,0.016178633853164273,0.0,0.0
330,AS14.06,2014-04-08,7.0,0.0,0.0,0.1749485596707819,0.044198889493176255,0.00519234717305259,0.0
331,AS14.06,2014-04-09,7.0,0.0,1.0,0.10309597523219814,0.07396976067853077,0.014235997387376588,0.002744340309099382
332,AS14.06,2014-04-10,8.0,0.0,1.0,0.22428424516659815,0.025790894200218156,0.0,0.07123293644413074
333,AS14.06,2014-04-11,8.0,0.0,1.0,0.2059167095645367,0.17691774182754597,0.0027081676269711218,0.0
334,AS14.06,2014-04-12,8.0,0.0,1.0,0.23391223155929042,0.04356134076119898,0.0,0.043824961778179905
335,AS14.06,2014-04-13,6.0,-2.0,0.0,0.34474153297682714,0.01976261939256173,0.0,0.0
336,AS14.06,2014-04-14,7.0,0.0,1.0,0.17874293785310738,0.015892610659379584,0.0008843548186325997,0.0
337,AS14.06,2014-04-15,7.0,0.0,1.0,0.20056360708534618,0.02977582420884839,0.002152629113805505,0.032855776332176914
338,AS14.06,2014-04-16,8.0,0.0,0.0,0.14506508485747238,0.06774077711547316,0.0005558389666611094,0.0
339,AS14.06,2014-04-17,7.0,0.0,1.0,0.15167069243156198,0.08986729653542959,0.008953273802879856,0.0
340,AS14.06,2014-04-18,6.0,-1.0,0.0,0.14621547543748678,0.055121975855680024,0.00030261676066003747,0.0
341,AS14.06,2014-04-19,7.0,0.0,1.0,0.09826388888888893,0.03306986309203063,0.0,0.0
342,AS14.06,2014-04-20,8.0,1.0,1.0,0.029657567049808403,0.034287694700083984,0.0,0.0
343,AS14.06,2014-04-21,7.0,0.0,1.0,0.07823937267214573,0.06788012959669447,0.0,0.0
344,AS14.06,2014-04-22,7.0,0.0,1.0,0.14449779911964783,0.11360265815970966,0.0013209738382822882,0.0
345,AS14.06,2014-04-23,7.0,0.0,1.0,0.13372735533587954,0.06367927002451046,0.003090915334879007,0.07244295342252212
346,AS14.06,2014-04-24,8.0,0.0,1.0,0.23571051267413404,0.029825966615230338,0.00012066212378978461,0.04119780779806888
347,AS14.06,2014-04-25,6.0,-1.0,0.0,0.26499999999999996,0.049576843446475144,0.0017930764157496404,0.0
348,AS14.06,2014-04-26,8.0,0.0,1.0,0.20659722222222224,0.030383877407659833,0.00409680359243832,0.0
349,AS14.06,2014-04-27,7.0,-1.0,1.0,0.05971583946078428,0.00986130282048253,0.0,0.0
350,AS14.06,2014-04-28,7.0,0.0,0.0,0.1723244348244349,0.031007067936699797,0.0009459177398590113,0.0
351,AS14.06,2014-04-29,7.0,0.0,1.0,0.1751971158833905,0.057921547168714,1.3219953801669629e-06,0.0
352,AS14.06,2014-04-30,7.0,-1.0,1.0,0.10888427751577054,0.06689573009027157,0.0027691897319056472,0.0
353,AS14.06,2014-05-01,8.0,0.0,1.0,0.3267268445839875,0.0466505526447267,0.00033155043227596444,0.0
354,AS14.06,2014-05-02,7.0,-1.0,1.0,0.1852636534839924,0.010786405174852156,0.0,0.01935209586386764
355,AS14.06,2014-05-03,6.0,-1.0,0.0,0.2202587145969499,0.006532676250767125,0.003716940238087162,0.0
356,AS14.06,2014-05-04,8.0,-1.0,1.0,0.16709055715309384,0.007582661579521969,0.0,0.0
357,AS14.06,2014-05-05,7.0,-1.0,1.0,0.082037037037037,0.020672862676449716,0.0,0.0
359,AS14.06,2014-05-07,7.0,0.0,0.0,0.11738523290247421,0.05840396609182373,0.0056273136984770706,0.02187296456884969
360,AS14.06,2014-05-08,7.0,-1.0,1.0,0.0,0.00041549745399288107,0.0,0.0
363,AS14.07,2014-03-19,7.0,-1.0,1.0,0.11912254032246263,0.04906339856159187,0.0,0.0
364,AS14.07,2014-03-20,5.0,-1.0,0.0,0.11912254032246263,0.03142840884537647,0.0,0.0
365,AS14.07,2014-03-21,7.0,0.0,1.0,0.11912254032246263,0.021791216425005023,0.0,0.0
366,AS14.07,2014-03-22,6.0,0.0,0.0,0.11912254032246263,0.051711680050264816,0.0,0.0
367,AS14.07,2014-03-23,8.0,0.0,2.0,0.11912254032246263,0.017608165476619288,0.0,0.0
368,AS14.07,2014-03-24,8.0,0.0,1.0,0.11912254032246263,0.01428460323429651,0.0,0.0
369,AS14.07,2014-03-25,8.0,0.0,1.0,0.13434490180252895,0.041530851562477156,0.0,0.0
370,AS14.07,2014-03-26,7.0,0.0,1.0,0.10329373128561768,0.03545911258236313,0.0,0.0
371,AS14.07,2014-03-27,7.0,0.0,0.0,0.08970024791525803,0.007286704512774832,0.0,0.0
372,AS14.07,2014-03-28,8.0,0.0,2.0,0.09809984248895876,0.060176842416914046,0.0,0.0
373,AS14.07,2014-03-29,7.0,0.0,1.0,0.041875853551842625,0.1491500903857222,0.0,0.0
374,AS14.07,2014-03-30,6.0,0.0,0.0,0.0625734602553756,0.016892648363575288,0.0,0.0
375,AS14.07,2014-03-31,4.0,-1.0,0.0,0.05136607673372381,0.10558318442958625,0.0,0.0
376,AS14.07,2014-04-01,7.0,-1.0,1.0,0.08076225802411184,0.13234718079050525,0.0,0.0
377,AS14.07,2014-04-02,6.0,-1.0,0.0,0.15618745321820188,0.047965302122607065,0.0,0.0
378,AS14.07,2014-04-03,6.0,0.0,0.0,0.09026347679477341,0.10790584636249809,0.0,0.0
379,AS14.07,2014-04-04,6.0,-1.0,0.0,0.04963037634408606,0.04660483456831964,0.0,0.0
380,AS14.07,2014-04-05,6.0,0.0,1.0,0.2313065813088305,0.010257906437664454,0.0,0.0
381,AS14.07,2014-04-06,7.0,-1.0,1.0,0.05631576348488113,0.06692692300789321,0.0,0.0
382,AS14.07,2014-04-07,5.0,-1.0,0.0,0.0805241620390383,0.1582201616160435,0.0,0.0
383,AS14.07,2014-04-08,7.0,0.0,1.0,0.07680102095483,0.022278671849532698,0.0,0.0
